id,name,chemicalFormula,chemicalKey,baseId,placeId,validSlots,imageUrl,imageKey,imageFile,spriteFile,rarity,rarityValue,coinCost,diamondCost,topicId,description,funFact,collections
nh3_glassCleaner__toilet,Glass Cleaner,Ammonia (NH₃),nh3,nh3,toilet,"toilet_vanity_cabinet, toilet_toilet, kitchen_base_cabinet",/chemcard/nh3_glassCleaner.jpeg,nh3_glassCleaner,nh3_glassCleaner.jpeg,nh3_glassCleaner.jpeg,uncommon,2,,30,04a,"Ammonia (NH₃) is a powerful cleaning agent that effectively cuts through grease and grime on glass surfaces. It works through a process called **saponification**, where it reacts with fatty acids in grease to form soap, which is then easily rinsed away with water. A simplified equation for this reaction with a fat (triglyceride) is: Fat + 3NH₃ → Glycerol + 3 Ammonium Soap.",The distinctive sharp smell of ammonia is actually a warning property; it's so irritating to the human nose that we can detect it at concentrations as low as 5 parts per million.,basic|corrosive|hydrogen_bonded|harmful
soap_soap__toilet,Soap,Soapy detergent,soap,soap,toilet,"toilet_vanity_top, kitchen_countertop, kitchen_base_cabinet",/chemcard/soap_soap.jpeg,soap_soap,soap_soap.jpeg,soap_soap.jpeg,common,1,,8,04a,"Soap is a surfactant, a substance that reduces the surface tension of water, allowing it to mix with oils and dirt so they can be washed away. It is produced via a chemical reaction called **saponification**, where a fat or oil (a triglyceride) reacts with a strong base like sodium hydroxide (NaOH). The general equation is: Triglyceride + 3NaOH → Glycerol + 3 Soap (Fatty acid salts).","The first documented evidence of soap-like materials dates back to ancient Babylon around 2800 BC, where it was likely used for cleaning wool.",
detergent__toilet,Detergent,Soapless detergent,detergent,detergent,toilet,"toilet_vanity_cabinet, kitchen_base_cabinet",/chemcard/detergent.jpeg,detergent,detergent.jpeg,detergent.jpeg,common,1,,8,05a,"Unlike soap, detergents are synthetic surfactants that work well even in hard water. They clean by reducing water's surface tension and emulsifying oils. Many modern detergents are derived from petroleum and contain enzymes to break down protein-based stains. A key reaction in their function is the sequestration of calcium and magnesium ions (which cause hardness) by compounds like phosphates or zeolites, preventing them from interfering with the cleaning process.","The first synthetic detergent, Nekal, was developed in Germany during World War I due to a shortage of fats and oils needed for soap production.",
polyethene_showerCurtain__toilet,Shower Curtain,Polyethene (PE),polyethene,polyethene,toilet,toilet_bathtub,/chemcard/polyethene_showerCurtain.jpeg,polyethene_showerCurtain,polyethene_showerCurtain.jpeg,polyethene_showerCurtain.jpeg,common,1,,10,05d,"A shower curtain is typically made from polyethene (polyethylene), a polymer created through the **addition polymerization** of ethene monomers. Under high pressure and temperature with an initiator, the double bonds in ethene open up to form long chains. The reaction is: n CH₂=CH₂ → [−CH₂−CH₂−]ₙ. This process creates a lightweight, flexible, and waterproof material ideal for shower curtains.",Polyethylene was first industrially synthesized by accident in 1933 by chemists at Imperial Chemical Industries (ICI) who were experimenting with high pressures. The first batch looked like a waxy solid.,polymer
nylon_toothbrush__toilet,Toothbrush,Nylon,nylonpolyamide,nylonpolyamide,toilet,toilet_vanity_top,/chemcard/nylon_toothbrush.jpeg,nylon_toothbrush,nylon_toothbrush.jpeg,nylon_toothbrush.jpeg,legendary,5,,85,04a|05d,"The bristles of a toothbrush are commonly made from nylon, a synthetic polymer. Nylon is a polyamide formed via **condensation polymerization**. A common type, Nylon 6,6, is made by reacting hexamethylenediamine with adipic acid. In this reaction, each bond formation releases a small molecule, water. The general equation is: n H₂N-(CH₂)₆-NH₂ + n HOOC-(CH₂)₄-COOH → [−NH-(CH₂)₆-NH-CO-(CH₂)₄-CO−]ₙ + 2n H₂O.","The first nylon toothbrush, called ""Doctor West's Miracle-Tuft"", was introduced in 1938, replacing the more common animal-hair bristles.",polymer
naoh_drain_cleaner__toilet,Drain Cleaner,Sodium hydroxide (NaOH),naoh,naoh,toilet,"toilet_vanity_cabinet, toilet_toilet",/chemcard/naoh_drain_cleaner.jpeg,naoh_drain_cleaner,naoh_drain_cleaner.jpeg,naoh_drain_cleaner.jpeg,common,1,,9,04a|08a,"Sodium hydroxide (NaOH), also known as lye or caustic soda, is the active ingredient in many drain cleaners. It works by generating heat and converting the fats and grease that clog drains into soap through **saponification**. This reaction with a fat (glyceryl trioleate) is: (C₁₇H₃₃COO)₃C₃H₅ + 3NaOH → C₃H₅(OH)₃ + 3C₁₇H₃₃COONa. The soap produced is water-soluble, helping to dissolve the clog.","Sodium hydroxide is so caustic that it can dissolve organic materials like hair and flesh, which is why it's so effective on clogs but must be handled with extreme care.",basic|corrosive
nacl_saline_spray__toilet,Saline Spray,Sodium chloride (NaCl),nacl,nacl,toilet,"toilet_mirror_cabinet_1, toilet_mirror_cabinet_2, toilet_vanity_top",/chemcard/nacl_saline_spray.jpeg,nacl_saline_spray,nacl_saline_spray.jpeg,nacl_saline_spray.jpeg,common,1,,9,04e|04d|06a|06b|06c,"Saline spray is a simple solution of sodium chloride (NaCl) in water, made to be isotonic with bodily fluids. It is used to moisturize nasal passages and rinse away allergens or debris. The key property is the dissolution of the ionic compound in water, a process where the polar water molecules surround and separate the Na⁺ and Cl⁻ ions from the crystal lattice, a process that can be represented as: NaCl(s) + H₂O → Na⁺(aq) + Cl⁻(aq).",The concentration of saline solution (0.9% NaCl) is the same as the salt concentration in human blood.,
i2_antiseptic__toilet,Antiseptic,Iodine (I₂),i2,i2,toilet,"toilet_mirror_cabinet_1, toilet_mirror_cabinet_2, toilet_vanity_top",/chemcard/i2_antiseptic.jpeg,i2_antiseptic,i2_antiseptic.jpeg,i2_antiseptic.jpeg,epic,4,,55,04a|10a,"Iodine (I₂) is a powerful antiseptic used to disinfect minor cuts and scrapes. It works by oxidizing essential proteins and enzymes in microbial cells, leading to their death. When applied to the skin, it can react with itself and other compounds. In aqueous solution, it establishes an equilibrium with hypoiodous acid, which is also an effective antimicrobial agent: I₂ + H₂O ⇌ HOI + I⁻ + H⁺.","Iodine is a trace element essential for human health, as it is a key component of thyroid hormones. Before modern antiseptics, iodine was one of the most effective and widely used agents in surgery.",irritant
fe_heatPack__toilet,Heat Pack,Iron (Fe),fe,fe,toilet,"toilet_vanity_cabinet, toilet_vanity_top",/chemcard/fe_heatPack.jpeg,fe_heatPack,fe_heatPack.jpeg,fe_heatPack.jpeg,rare,3,,57,01a|07c|08a|02d|12c,"A disposable heat pack relies on the exothermic **oxidation** of iron. When the pack is squeezed, an internal water bag breaks, allowing water and oxygen from the air to react with the iron powder inside. The chemical equation for this **rusting** process is: 4Fe(s) + 3O₂(g) + 2H₂O(l) → 2Fe₂O₃·H₂O(s) (hydrated iron(III) oxide). This reaction releases energy in the form of heat, warming the pack for several hours.","The heat pack will continue to generate heat until all the iron has been oxidized, after which it becomes a hard, rusty brick.",metals|enthalpy_change
hcl_toilet_cleaner__toilet,Toilet Cleaner,Hydrochloric acid (HCl),hcl,hcl,toilet,"toilet_vanity_cabinet, toilet_toilet",/chemcard/hcl_toilet_cleaner.jpeg,hcl_toilet_cleaner,hcl_toilet_cleaner.jpeg,hcl_toilet_cleaner.jpeg,common,1,,8,01c|04a|04e|04d,"Hydrochloric acid (HCl) is a strong acid used in toilet bowl cleaners to dissolve mineral deposits, particularly limescale (calcium carbonate, CaCO₃). It works through an **acid-base** (neutralization) reaction. The HCl reacts with the insoluble limescale, converting it into soluble calcium chloride, water, and carbon dioxide. The reaction is: 2HCl(aq) + CaCO₃(s) → CaCl₂(aq) + H₂O(l) + CO₂(g). The fizzing observed is the carbon dioxide gas being released.","Our own stomachs produce hydrochloric acid to help digest food. The concentration in the stomach (about 0.5%) is much lower than in some toilet cleaners, but it's still a potent acid.",acidic|corrosive
